vendor_id,name,category,is_critical
V1,Vendor Name 1,logistics,True
V2,Vendor Name 2,rent,False
V3,Vendor Name 3,marketing,False
V4,Vendor Name 4,supplies,True
V5,Vendor Name 5,marketing,True
V6,Vendor Name 6,utilities,False
V7,Vendor Name 7,utilities,False
V8,Vendor Name 8,software,True
V9,Vendor Name 9,supplies,False
V10,Vendor Name 10,logistics,True
V11,Vendor Name 11,logistics,True
V12,Vendor Name 12,logistics,False
V13,Vendor Name 13,marketing,False
V14,Vendor Name 14,software,True
V15,Vendor Name 15,utilities,False
V16,Vendor Name 16,rent,False
V17,Vendor Name 17,utilities,False
V18,Vendor Name 18,logistics,True
V19,Vendor Name 19,software,False
V20,Vendor Name 20,utilities,True
V21,Vendor Name 21,logistics,True
V22,Vendor Name 22,supplies,False
V23,Vendor Name 23,supplies,False
V24,Vendor Name 24,software,False
V25,Vendor Name 25,rent,False
V26,Vendor Name 26,marketing,False
V27,Vendor Name 27,supplies,False
V28,Vendor Name 28,software,False
V29,Vendor Name 29,supplies,False
V30,Vendor Name 30,supplies,True
V31,Vendor Name 31,marketing,True
V32,Vendor Name 32,supplies,False
V33,Vendor Name 33,utilities,True
V34,Vendor Name 34,software,False
V35,Vendor Name 35,logistics,False
V36,Vendor Name 36,utilities,False
V37,Vendor Name 37,software,True
V38,Vendor Name 38,marketing,False
V39,Vendor Name 39,software,True
V40,Vendor Name 40,rent,False
V41,Vendor Name 41,utilities,False
V42,Vendor Name 42,supplies,True
V43,Vendor Name 43,rent,False
V44,Vendor Name 44,logistics,False
V45,Vendor Name 45,rent,False
V46,Vendor Name 46,rent,True
V47,Vendor Name 47,utilities,False
V48,Vendor Name 48,logistics,False
V49,Vendor Name 49,supplies,False
V50,Vendor Name 50,rent,False
V51,Vendor Name 51,utilities,False
V52,Vendor Name 52,supplies,True
V53,Vendor Name 53,supplies,True
V54,Vendor Name 54,software,True
V55,Vendor Name 55,logistics,True
V56,Vendor Name 56,marketing,True
V57,Vendor Name 57,software,True
V58,Vendor Name 58,software,False
V59,Vendor Name 59,rent,False
V60,Vendor Name 60,logistics,False
V61,Vendor Name 61,marketing,False
V62,Vendor Name 62,marketing,True
V63,Vendor Name 63,utilities,False
V64,Vendor Name 64,supplies,False
V65,Vendor Name 65,software,False
V66,Vendor Name 66,rent,True
V67,Vendor Name 67,supplies,False
V68,Vendor Name 68,software,False
V69,Vendor Name 69,supplies,False
V70,Vendor Name 70,logistics,False
V71,Vendor Name 71,logistics,False
V72,Vendor Name 72,software,True
V73,Vendor Name 73,rent,True
V74,Vendor Name 74,marketing,True
V75,Vendor Name 75,software,False
V76,Vendor Name 76,marketing,False
V77,Vendor Name 77,rent,False
V78,Vendor Name 78,marketing,False
V79,Vendor Name 79,utilities,True
V80,Vendor Name 80,utilities,False
V81,Vendor Name 81,utilities,False
V82,Vendor Name 82,supplies,False
V83,Vendor Name 83,rent,False
V84,Vendor Name 84,marketing,True
V85,Vendor Name 85,software,True
V86,Vendor Name 86,utilities,False
V87,Vendor Name 87,software,False
V88,Vendor Name 88,utilities,False
V89,Vendor Name 89,logistics,True
V90,Vendor Name 90,rent,False
V91,Vendor Name 91,utilities,False
V92,Vendor Name 92,logistics,False
V93,Vendor Name 93,software,True
V94,Vendor Name 94,utilities,False
V95,Vendor Name 95,logistics,False
V96,Vendor Name 96,marketing,False
V97,Vendor Name 97,utilities,False
V98,Vendor Name 98,rent,False
V99,Vendor Name 99,logistics,False
V100,Vendor Name 100,rent,False
