vendor_id,name,category,is_critical
V1,Vendor Name 1,software,False
V2,Vendor Name 2,logistics,True
V3,Vendor Name 3,marketing,False
V4,Vendor Name 4,supplies,True
V5,Vendor Name 5,utilities,False
V6,Vendor Name 6,marketing,True
V7,Vendor Name 7,logistics,False
V8,Vendor Name 8,logistics,False
V9,Vendor Name 9,supplies,False
V10,Vendor Name 10,marketing,False
V11,Vendor Name 11,logistics,True
V12,Vendor Name 12,marketing,False
V13,Vendor Name 13,supplies,True
V14,Vendor Name 14,logistics,False
V15,Vendor Name 15,supplies,False
V16,Vendor Name 16,utilities,False
V17,Vendor Name 17,supplies,False
V18,Vendor Name 18,software,True
V19,Vendor Name 19,utilities,True
V20,Vendor Name 20,supplies,False
V21,Vendor Name 21,supplies,False
V22,Vendor Name 22,marketing,False
V23,Vendor Name 23,logistics,False
V24,Vendor Name 24,marketing,False
V25,Vendor Name 25,utilities,False
V26,Vendor Name 26,logistics,False
V27,Vendor Name 27,utilities,False
V28,Vendor Name 28,utilities,False
V29,Vendor Name 29,utilities,False
V30,Vendor Name 30,logistics,False
V31,Vendor Name 31,software,False
V32,Vendor Name 32,supplies,False
V33,Vendor Name 33,supplies,False
V34,Vendor Name 34,software,False
V35,Vendor Name 35,software,True
V36,Vendor Name 36,utilities,False
V37,Vendor Name 37,utilities,False
V38,Vendor Name 38,marketing,False
V39,Vendor Name 39,utilities,True
V40,Vendor Name 40,logistics,False
V41,Vendor Name 41,logistics,True
V42,Vendor Name 42,supplies,True
V43,Vendor Name 43,software,False
V44,Vendor Name 44,marketing,False
V45,Vendor Name 45,supplies,False
V46,Vendor Name 46,supplies,True
V47,Vendor Name 47,supplies,False
V48,Vendor Name 48,supplies,True
V49,Vendor Name 49,utilities,False
V50,Vendor Name 50,logistics,False
V51,Vendor Name 51,logistics,True
V52,Vendor Name 52,logistics,False
V53,Vendor Name 53,utilities,False
V54,Vendor Name 54,supplies,False
V55,Vendor Name 55,software,False
V56,Vendor Name 56,marketing,True
V57,Vendor Name 57,logistics,False
V58,Vendor Name 58,logistics,True
V59,Vendor Name 59,supplies,False
V60,Vendor Name 60,utilities,False
V61,Vendor Name 61,utilities,False
V62,Vendor Name 62,supplies,False
V63,Vendor Name 63,marketing,True
V64,Vendor Name 64,utilities,False
V65,Vendor Name 65,supplies,False
V66,Vendor Name 66,supplies,False
V67,Vendor Name 67,marketing,False
V68,Vendor Name 68,supplies,False
V69,Vendor Name 69,software,False
V70,Vendor Name 70,rent,False
V71,Vendor Name 71,utilities,False
V72,Vendor Name 72,logistics,True
V73,Vendor Name 73,logistics,False
V74,Vendor Name 74,software,False
V75,Vendor Name 75,marketing,False
V76,Vendor Name 76,rent,False
V77,Vendor Name 77,supplies,False
V78,Vendor Name 78,software,False
V79,Vendor Name 79,software,True
V80,Vendor Name 80,marketing,False
V81,Vendor Name 81,marketing,True
V82,Vendor Name 82,marketing,True
V83,Vendor Name 83,software,False
V84,Vendor Name 84,marketing,False
V85,Vendor Name 85,logistics,False
V86,Vendor Name 86,software,True
V87,Vendor Name 87,marketing,False
V88,Vendor Name 88,logistics,True
V89,Vendor Name 89,supplies,True
V90,Vendor Name 90,logistics,False
V91,Vendor Name 91,marketing,True
V92,Vendor Name 92,supplies,True
V93,Vendor Name 93,supplies,False
V94,Vendor Name 94,software,False
V95,Vendor Name 95,software,False
V96,Vendor Name 96,supplies,False
V97,Vendor Name 97,utilities,True
V98,Vendor Name 98,software,True
V99,Vendor Name 99,marketing,False
V100,Vendor Name 100,utilities,True
